1	13	5	881250949
1	14	4	891717742
1	12	4	878887116
1	1	1	880606923
1	2	2	886397596
1	3	1	881250949
1	4	3	891717742
1	5	3	878887116
1	6	3	880606923
1	8	2	886397596
1	7	2	884182806
2	7	5	881171488
2	17	5	891628467
2	16	4	886324817
2	1	1	883603013
2	13	2	879372434
2	14	2	879781125
2	2	5	881171488
2	4	1	891628467
2	15	4	886324817
2	10	3	883603013
2	6	2	879372434
2	11	1	879781125
3	1	5	876042340
3	2	3	891035994
3	4	4	888104457
3	16	2	879485318
3	11	3	876042340
3	14	3	891035994
3	3	3	876042340
3	11	2	891035994
3	9	3	888104457
3	5	2	879485318
3	13	3	876042340
3	15	5	891035994
4	14	5	888104457
4	3	5	879485318
4	9	4	879485318
4	13	3	888104457
4	17	3	879485318
4	1	1	879485318
5	8	2	888104457
5	12	2	879485318
5	16	1	879485318
5	3	3	888104457
5	2	5	879485318
5	1	4	879485318
